player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Weston McKennie,Leeds,31.1,1.5,0.8,22.7,6.1
Joel Robles,Leeds,25.5,5.5,14.8,5.3,0
Oliver Skipp,Tottenham,32.9,1.2,1.2,27.5,3
Emerson,West Ham,26.5,0.6,1,21,3.9
Junior Firpo,Leeds,26.4,0.5,1.6,18.8,5.5
Brenden Aaronson,Leeds,20,0.2,0.3,15.6,3.8
Lewis Cook,Bournemouth,25.1,0.8,1,19.7,3.5
Enock Mwepu,Brighton,12.5,0.2,0.2,10,2.2
Neeskens Kebano,Fulham,11.1,0.1,0.1,8.8,2.1
Kristoffer Ajer,Brentford,32.7,2,2.2,22.9,5.6
Pablo Fornals,West Ham,21.9,1.3,1.2,15.7,3.7
Lucas Digne,Aston Villa,25.3,1,1.4,18.9,4
Chris Richards,Crystal Palace,21.7,1.2,1.1,17,2.3
Ryan Sessegnon,Tottenham,17.1,0.3,0.6,12.2,3.9
Juan Larios,Southampton,11,0.2,0.4,8.6,1.8
Nathaniel Phillips,Liverpool,41,4,2.5,31.5,3
Cristiano Ronaldo,Manchester United,15.8,0.1,0.1,12,3.6
Frank Onyeka,Brentford,12,0.3,0.7,8.8,2.2
Denis Zakaria,Chelsea,25.4,0.4,0.1,22.1,2.7
Scott McKenna,Nottingham Forest,35,1.9,3.2,25.9,4.1
Ben Johnson,West Ham,26.8,1.2,3.1,18.4,4.1
Matt Targett,Newcastle,19.3,0.5,1,15.2,2.5
Cheikhou Kouyaté,Nottingham Forest,11.7,0.6,0.3,8.2,2.6
James Bree,Southampton,27.8,0.8,1,20.8,5.2
Gonçalo Guedes,Wolves,13.2,0.6,0.2,9.3,3.1
Remo Freuler,Nottingham Forest,29.6,0.8,1.3,22.8,4.7
Pedro Neto,Wolves,16.4,0.7,0.4,13.3,2.1
Pablo Sarabia,Wolves,24.2,0.8,0.8,17.7,4.8
Theo Walcott,Southampton,12,0.1,0.5,8.7,2.8
Wout Weghorst,Manchester United,12.2,0.2,0.5,8.6,2.8
Ricardo Pereira,Leicester,25.4,0.8,1.7,19.4,3.5
Philippe Coutinho,Aston Villa,17.9,0.5,0.4,13.6,3.5
Fábio Carvalho,Liverpool,10.7,0.2,0.2,8.7,1.7
Ludwig Augustinsson,Aston Villa,10,0.3,1.7,6,2
Steve Cook,Nottingham Forest,37.9,2.7,3.7,27.9,3.7
Bertrand Traoré,Aston Villa,8.5,0.1,0.3,6.8,1.4
