Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots
Ronaldo Vieira,Sampdoria,25,DMC,8(8),815,0,0,3,0,0.3,87.8,0.5,0,6.18,1.1,0.8,1.3,0.1,0.6,0.2,0.3,0,0,0,0,0,0,0.5,1,27.1,0,1.2,0,,,,,
Ronaldo Vieira,Sampdoria,25,DMC,8(8),815,0,0,3,0,0.3,87.8,0.5,0,6.18,0.5,0,0.5,0,1,0,0,0,0.3,0,0.1,0.6,0,0.4,0.4,27.1,0,1.2,0,,,,,
Ronaldo Vieira,Sampdoria,25,DMC,8(8),815,0,0,3,0,0.3,87.8,0.5,0,6.18,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0,0.5,1,27.1,0,1.2,0,,,,,
Ronaldo Vieira,Torino,25,DMC,0(2),15,0,0,0,0,0,83.3,0,0,6.09,1.1,0.8,1.3,0.1,0.6,0.2,0.3,0,0.3,0,0.1,0.6,0,0.4,0.4,27.1,0,1.2,0,,,,,
Ronaldo Vieira,Torino,25,DMC,0(2),15,0,0,0,0,0,83.3,0,0,6.09,1.1,0.8,1.3,0.1,0.6,0.2,0.3,0,0,0,0,0,0,0.5,1,27.1,0,1.2,0,,,,,
Ronaldo Vieira,Torino,25,DMC,0(2),15,0,0,0,0,0,83.3,0,0,6.09,0.5,0,0.5,0,1,0,0,0,0.3,0,0.1,0.6,0,0.4,0.4,27.1,0,1.2,0,,,,,
Ronaldo Vieira,Torino,25,DMC,0(2),15,0,0,0,0,0,83.3,0,0,6.09,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0,0.5,1,27.1,0,1.2,0,,,,,
Michel Aebischer,Bologna,27,M(CR),18(14),1541,1,0,4,0,0.5,84.9,0.3,0,6.18,0.4,0.2,0.7,0,0.3,0.5,0.1,0,0.5,0.5,0.2,0.7,0.2,0.5,0.9,19.9,0.1,0.6,0,,,,,
Agustín Álvarez,Sassuolo,22,Forward,1(21),351,1,1,1,0,0.6,83.8,0.4,0,6.18,0.3,0.1,0.4,0,0.1,0.1,0,0,0.6,0.1,0.3,0.2,0.1,0.5,0.7,3.6,0,0.2,0,,,,,
Mato Jajalo,Udinese,35,M(C),0(3),61,0,0,0,0,0.7,79.3,0.3,0,6.18,0,0,0.3,0,0.7,0.3,0,0,0.7,0.3,0.3,0,0,0,0.3,9.7,0,0.7,0,,,,,
Warren Bondo,Monza,20,DMC,0(4),56,0,0,1,0,0.3,88,0.3,0,6.18,0.3,0,0.5,0,0,0,0,0,0.3,0,0.8,0.8,0,0.3,0.3,12.5,0,0,0,,,,,
Diego Demme,Napoli,32,DMC,2(5),144,0,0,0,0,0,94.8,0.3,0,6.17,0.1,0,0.3,0,0.1,0.6,0,0,0,0.1,0.3,0.4,0,0.1,0.4,27.3,0,1,0,,,,,
Jesé,Sampdoria,31,"AM(LR),FW",1(10),203,1,1,0,0,0.3,71.4,0.2,0,6.17,0.2,0.1,0.3,0,0.2,0.1,0.1,0,0.3,0.2,0.3,0.5,0.2,0.3,0.5,5.7,0,0.3,0,,,,,
Niklas Pyyhtiä,Bologna,20,Midfielder,0(6),103,0,1,0,0,0.5,76.9,0.2,0,6.16,0.2,0.2,0,0,0.7,0.2,0.2,0,0.5,0.3,0,0,0,0.5,0.2,8.7,0,0.2,0,,,,,
Marash Kumbulla,Roma,24,D(C),5(2),263,0,0,1,1,0.1,87.2,1,0,6.15,0.6,0.6,0.4,0.1,0.9,0.1,0.1,0,0.1,0.1,0,0.7,0,0,0.3,25.7,0,1,0,,,,,
Aster Vranckx,AC Milan,21,M(C),2(7),237,0,0,1,0,0.2,76.6,0.4,0,6.15,0.3,0.2,0.7,0,0.1,0.6,0.1,0,0.2,0.1,0.3,0.4,0,0.9,0.4,13.8,0.1,0.6,0,,,,,
Ivan Radovanovic,Salernitana,35,"D(C),DMC",7(3),672,0,0,1,1,0.7,81.1,0.8,0,6.15,1.2,0.7,0.4,0.2,0.9,0.6,0.3,0,0.7,0.1,0,0.7,0,0,0.6,26.4,0,2.5,0,,,,,
Kristijan Bistrovic,Lecce,26,DMC,5(6),460,0,0,0,0,0.7,76.5,0.2,0,6.15,0.3,0,0.2,0,0.4,0.5,0,0,0.7,0.5,0.1,0.4,0.1,0.5,0.3,10.8,0.9,0.5,0,,,,,
