player_name,team_name,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals
Gerzino Nyamsi,Strasbourg,0.1,0,0,0.1
Renato Sanches,Paris Saint-Germain,0.1,0,0.1,0
Jean-Eudes Aholou,Strasbourg,0.1,0,0,0.1
Yoann Salmier,Troyes,0,0,0,0
Mattia Viti,Nice,0.1,0,0.1,0
Wilson Odobert,Troyes,0.1,0,0.1,0
Jere Uronen,Brest,0,0,0,0
Rubén Blanco,Marseille,0,0,0,0
Kevin Volland,Monaco,0.2,0,0.2,0
Dion Lopy,Reims,0,0,0,0
Jodel Dossou,Clermont Foot,0.1,0,0.1,0
Darlin Yongwa,Lorient,0.1,0.1,0,0
Houssem Aouar,Lyon,0.1,0,0.1,0
Jean-Claude Billong,Clermont Foot,0,0,0,0
Miha Blazic,Angers,0.1,0,0,0
Logan Costa,Toulouse,0,0,0,0
Samuel Moutoussamy,Nantes,0,0,0,0
Calvin Stengs,Nice,0,0,0,0
Adil Rami,Troyes,0,0,0,0
Ibrahima Sissoko,Strasbourg,0,0,0,0
Cédric Bakambu,Marseille,0,0,0,0
Ibrahim Diakité,Reims,0,0,0,0
Youcef Belaïli,Brest,0,0,0,0
Soungoutou Magassa,Monaco,0,0,0,0
Paul Bernardoni,Angers,0,0,0,0
Julian Jeanvier,Auxerre,0,0,0,0
Jeff Reine-Adélaïde,Lyon,0,0,0,0
Lassine Sinayoko,Auxerre,0,0,0,0
Pablo Rosario,Nice,0,0,0,0
Adrien Thomasson,Strasbourg,0,0,0,0
Julien Ponceau,Lorient,0,0,0,0
Souleyman Doumbia,Angers,0,0,0,0
Cyrille Bayala,AC Ajaccio,0,0,0,0
Akim Zedadka,Lille,0.1,0,0.1,0
Arbër Zeneli,Reims,0,0,0,0
Billal Brahimi,Nice,0.1,0,0,0.1
Oumar Gonzalez,AC Ajaccio,0,0,0,0
Vincent Sierro,Toulouse,0,0,0,0
Sacha Delaye,Montpellier,0.3,0,0,0.3
Siriki Dembélé,Auxerre,0,0,0,0
Moussa Sissoko,Nantes,0.1,0,0,0
Thierno Baldé,Troyes,0,0,0,0
Alexandre Coeff,Auxerre,0,0,0,0
Matis Carvalho,Montpellier,0,0,0,0
Yoann Cathline,Lorient,0,0,0,0
Ibrahima Niané,Angers,0.1,0.1,0,0
Abdallah Sima,Angers,0.1,0,0.1,0
Christophe Hérelle,Brest,0,0,0,0
Brayann Pereira,Auxerre,0,0,0,0
Birger Meling,Rennes,0,0,0,0
Wout Faes,Reims,0,0,0,0
Bamba Dieng,Marseille,0.1,0,0.1,0
Adrien Hunou,Angers,0.1,0,0.1,0
Cédric Hountondji,Angers,0,0,0,0
Vítinha,Marseille,0.1,0.1,0.1,0
Eric Bailly,Marseille,0,0,0,0
Tanguy Zoukrou,Troyes,0,0,0,0
Pierrick Capelle,Angers,0,0,0,0
Romain Faivre,Lyon,0,0,0,0
Franci Bouebari,Strasbourg,0,0,0,0
Ismaël Diallo,AC Ajaccio,0,0,0,0
Batista Mendy,Angers,0,0,0,0
Amine Salama,Angers,0.1,0,0.1,0
Mitchell van Bergen,Reims,0,0,0,0
Amine Gouiri,Nice,0,0,0,0
Mickaël Alphonse,AC Ajaccio,0,0,0,0
Moussa Diarra,Toulouse,0,0,0,0
Denis Genreau,Toulouse,0,0,0,0
Rémy Descamps,Nantes,0,0,0,0
Jeff Reine-Adélaïde,Troyes,0,0,0,0
João Victor,Nantes,0,0,0,0
Komnen Andric,Clermont Foot,0.1,0.1,0.1,0
Ruben Aguilar,Monaco,0,0,0,0
Maxime Busi,Reims,0,0,0,0
Khalil Fayad,Montpellier,0,0,0,0
Dennis Appiah,Nantes,0,0,0,0
Bonke Innocent,Lorient,0,0,0,0
Erik Palmer-Brown,Troyes,0,0,0,0
Amin Sarr,Lyon,0.1,0.1,0,0
Timothée Pembélé,Paris Saint-Germain,0,0,0,0
Florent Ogier,Clermont Foot,0,0,0,0
Nordine Kandil,Strasbourg,0,0,0,0
Jérôme Boateng,Lyon,0,0,0,0
Gauthier Hein,Auxerre,0.1,0,0,0
Azzedine Ounahi,Marseille,0.1,0,0.1,0
Arnaud Souquet,Montpellier,0,0,0,0
Thomas Mangani,AC Ajaccio,0,0,0,0
Moussa Dembélé,Lyon,0.1,0,0.1,0
Benoît Costil,Auxerre,0,0,0,0
Alexis Beka Beka,Nice,0,0,0,0
Enzo Tchato,Montpellier,0,0,0,0
Marcus Coco,Nantes,0,0,0,0
Malang Sarr,Monaco,0,0,0,0
Romain Hamouma,AC Ajaccio,0.1,0.1,0,0
Papa Ndiaga Yade,Troyes,0,0,0,0
Farid El Melali,Angers,0,0,0,0
M'Baye Niang,Auxerre,0.2,0,0.2,0
Warren Zaïre-Emery,Paris Saint-Germain,0.1,0,0,0
Gelson Martins,Monaco,0,0,0,0
Mamadou Sakho,Montpellier,0.1,0,0.1,0
Julien Le Cardinal,Lens,0,0,0,0
Clément Vidal,AC Ajaccio,0,0,0,0
Ibrahim Salah,Rennes,0,0,0,0
Myron Boadu,Monaco,0.3,0.1,0.2,0
Youssouf M'Changama,Auxerre,0,0,0,0
Mohamed Bayo,Lille,0.1,0,0.1,0
Eliot Matazo,Monaco,0,0,0,0
Ayoub Amraoui,Nice,0,0,0,0
Maghnes Akliouche,Monaco,0,0,0,0
Steven Fortès,Lens,0,0,0,0
Andy Delort,Nantes,0,0,0,0
Jérémie Bela,Clermont Foot,0.1,0,0,0.1
Ismail Jakobs,Monaco,0,0,0,0
Yanis Cimignani,AC Ajaccio,0,0,0,0
Fallou Fall,Reims,0,0,0,0
Kévin Danois,Auxerre,0,0,0,0
Carlos Baleba,Lille,0,0,0,0
Sada Thioub,Angers,0,0,0,0
Andreas Bruus,Troyes,0,0,0,0
Rares Ilie,Nice,0,0,0,0
Kevin Spadanuda,AC Ajaccio,0,0,0,0
Sébastien Corchia,Nantes,0,0,0,0
Benjamin Leroy,AC Ajaccio,0,0,0,0
Marcin Bulka,Nice,0,0,0,0
Siriné Doucouré,Lorient,0,0,0,0
Ismaël Boura,Lens,0,0,0,0
Pablo Sarabia,Paris Saint-Germain,0,0,0,0
Alexis Claude-Maurice,Nice,0,0,0,0
Ibrahim Amadou,Angers,0,0,0,0
Oliver Zandén,Toulouse,0,0,0,0
Souleymane Cissé,Clermont Foot,0,0,0,0
Islam Slimani,Brest,0.1,0,0.1,0
Charles Traoré,Nantes,0,0,0,0
Mathieu Coutadeur,AC Ajaccio,0,0,0,0
Riad Nouri,AC Ajaccio,0,0,0,0
Ruan,AC Ajaccio,0,0,0,0
Arial Mendy,Clermont Foot,0,0,0,0
Taïryk Arconte,Brest,0,0,0,0
Valère Germain,Montpellier,0.1,0,0,0
Matthis Abline,Auxerre,0.1,0,0.1,0
Halid Sabanovic,Angers,0.1,0.1,0.1,0
Lebo Mothiba,Strasbourg,0.2,0,0.2,0
Ado Onaiwu,Toulouse,0.1,0,0,0
Lukasz Poreba,Lens,0,0,0,0
Matthis Abline,Rennes,0.1,0,0.1,0
Jonas Martin,Lille,0,0,0,0
Ayman Kari,Lorient,0,0,0,0
Lois Diony,Angers,0.1,0,0.1,0
Abdoulaye Bamba,Angers,0,0,0,0
Gaëtan Charbonnier,Auxerre,0.2,0,0.2,0
Iké Ugbo,Troyes,0.1,0,0.1,0
Serhou Guirassy,Rennes,0,0,0,0
Lorenz Assignon,Rennes,0,0,0,0
Mehdi Puch-Herrantz,AC Ajaccio,0,0,0,0
Fábio,Nantes,0,0,0,0
Ismaël Gharbi,Paris Saint-Germain,0,0,0,0
Karol Fila,Strasbourg,0,0,0,0
Tony Strata,AC Ajaccio,0,0,0,0
Cédric Avinel,AC Ajaccio,0,0,0,0
Theocharis Tsingaras,Toulouse,0,0,0,0
